Employee Name,Date,In-Time,Out-Time
John Doe,2024-01-01,10:05,18:35
John Doe,2024-01-02,10:10,18:40
John Doe,2024-01-03,10:00,18:30
John Doe,2024-01-04,09:55,18:25
John Doe,2024-01-05,,18:30
John Doe,2024-01-06,10:00,14:00
John Doe,2024-01-08,10:15,18:45
John Doe,2024-01-09,10:00,18:30
John Doe,2024-01-10,09:50,18:20
John Doe,2024-01-11,10:05,18:35
John Doe,2024-01-12,10:00,18:30
John Doe,2024-01-13,10:00,14:00
John Doe,2024-01-15,10:00,
John Doe,2024-01-16,10:10,18:40
John Doe,2024-01-17,10:00,18:30
John Doe,2024-01-18,09:55,18:25
John Doe,2024-01-19,10:05,18:35
John Doe,2024-01-20,10:00,14:00
John Doe,2024-01-22,10:00,18:30
John Doe,2024-01-23,10:15,18:45
John Doe,2024-01-24,10:00,18:30
John Doe,2024-01-25,09:50,18:20
John Doe,2024-01-26,10:05,18:35
John Doe,2024-01-27,10:00,14:00
John Doe,2024-01-29,10:00,18:30
John Doe,2024-01-30,10:10,18:40
John Doe,2024-01-31,10:00,18:30

